,timestamp,EndCons
63,2022-03-05,1701851.8522968746
64,2022-03-06,1616349.5852760419
65,2022-03-07,1905144.4049934903
66,2022-03-08,1941874.3635768227
67,2022-03-09,1906668.786035156
68,2022-03-10,1865339.854233073
69,2022-03-11,1841206.8111705733
70,2022-03-12,1598950.3337343752
71,2022-03-13,1491427.484067708
72,2022-03-14,1741527.3018893236
73,2022-03-15,1830292.0300768223
74,2022-03-16,1780259.711441406
75,2022-03-17,1762257.1470664062
76,2022-03-18,1801506.4927955728
77,2022-03-19,1562493.3533906254
78,2022-03-20,1453366.2363072915
79,2022-03-21,1736041.002509115
80,2022-03-22,1755190.7127174474
81,2022-03-23,1750849.5604153655
82,2022-03-24,1713224.031373698
83,2022-03-25,1684715.9931861975
84,2022-03-26,1462149.8647122395
85,2022-03-27,1357781.5111644024
86,2022-03-28,1642675.272623698
87,2022-03-29,1675572.4507278649
88,2022-03-30,1723773.4981236972
89,2022-03-31,1774264.8946861976
90,2022-04-01,1895415.579259114
91,2022-04-02,1749141.6900039061
92,2022-04-03,1635160.8173411454
93,2022-04-04,1844747.9833632808
94,2022-04-05,1815620.6139986974
95,2022-04-06,1737690.0908841146
96,2022-04-07,1770415.1207382819
97,2022-04-08,1759510.5551757815
98,2022-04-09,1572306.299316407
99,2022-04-10,1448025.2196536453
100,2022-04-11,1686692.9782695302
101,2022-04-12,1642219.1325299477
102,2022-04-13,1593638.9811028645
103,2022-04-14,1521496.9233632805
104,2022-04-15,1240596.1947161458
105,2022-04-16,1267566.126430989
106,2022-04-17,1209753.348861979
107,2022-04-18,1252560.824539063
108,2022-04-19,1525537.3688841143
109,2022-04-20,1573598.4365507814
110,2022-04-21,1571681.9708632801
111,2022-04-22,1563549.114196615
112,2022-04-23,1394884.9630872393
113,2022-04-24,1343979.6844661457
114,2022-04-25,1648578.1941757817
115,2022-04-26,1667623.9824049475
116,2022-04-27,1619678.2212695312
117,2022-04-28,1593799.2853320322
118,2022-04-29,1567540.5807486984
119,2022-04-30,1390674.3908059895
120,2022-05-01,1282371.2047786464
121,2022-05-02,1541609.2814361975
122,2022-05-03,1592249.7834257819
123,2022-05-04,1604901.0209466144
124,2022-05-05,1664366.0077486988
125,2022-05-06,1654648.7210195314
126,2022-05-07,1377257.8973997398
127,2022-05-08,1265637.0860494797
128,2022-05-09,1531158.1370507812
129,2022-05-10,1519695.0009570308
130,2022-05-11,1526330.5862278643
131,2022-05-12,1528961.1080507815
132,2022-05-13,1531125.6927591146
133,2022-05-14,1279110.503014323
134,2022-05-15,1180118.3476770832
135,2022-05-16,1503008.8012200522
136,2022-05-17,1511242.8845221354
137,2022-05-18,1509681.3485221353
138,2022-05-19,1532356.723459636
139,2022-05-20,1523449.7568658853
140,2022-05-21,1304444.8705416669
141,2022-05-22,1211341.7124270832
142,2022-05-23,1530239.4536471365
143,2022-05-24,1556938.6115950516
144,2022-05-25,1487196.1316471358
145,2022-05-26,1212794.2589791666
146,2022-05-27,1324842.0902200516
147,2022-05-28,1240034.5777604168
148,2022-05-29,1190004.929666667
149,2022-05-30,1465671.1095325518
150,2022-05-31,1528871.4330221356
151,2022-06-01,1536611.5678763029
152,2022-06-02,1522761.7865013017
153,2022-06-03,1517532.6783450518
154,2022-06-04,1281553.6187812502
155,2022-06-05,1197927.5031979163
156,2022-06-06,1212764.5439166669
157,2022-06-07,1501513.1847929691
158,2022-06-08,1512214.8158242183
159,2022-06-09,1527934.224386719
160,2022-06-10,1476874.8208658851
161,2022-06-11,1266780.421822917
162,2022-06-12,1187066.209333333
163,2022-06-13,1494479.3555117191
164,2022-06-14,1510190.783938802
165,2022-06-15,1530686.572365885
166,2022-06-16,1476658.7650533856
167,2022-06-17,1481417.5155013017
168,2022-06-18,1305322.4195729163
169,2022-06-19,1232369.657239583
170,2022-06-20,1538988.5718450525
171,2022-06-21,1570273.016063802
172,2022-06-22,1577030.374407552
173,2022-06-23,1515375.694605469
174,2022-06-24,1519714.3105742186
175,2022-06-25,1259799.1760729167
176,2022-06-26,1185230.320072916
177,2022-06-27,1510638.753334635
178,2022-06-28,1534890.4600742187
179,2022-06-29,1495214.169324219
180,2022-06-30,1522877.8928346348
181,2022-07-01,1506690.9159388023
182,2022-07-02,1252294.87803125
183,2022-07-03,1176150.7803749999
184,2022-07-04,1517977.112355468
185,2022-07-05,1495441.1582408852
186,2022-07-06,1481449.2786367182
187,2022-07-07,1491497.6802096358
188,2022-07-08,1449266.9766263019
189,2022-07-09,1245189.466125
190,2022-07-10,1154639.0390729164
191,2022-07-11,1426507.7831783846
192,2022-07-12,1464410.9948450525
193,2022-07-13,1481949.807240886
194,2022-07-14,1509519.2444388012
195,2022-07-15,1467779.0013033848
196,2022-07-16,1239064.062041667
197,2022-07-17,1152678.8477083335
198,2022-07-18,1431371.0273138024
199,2022-07-19,1476801.3266992187
200,2022-07-20,1516020.6098450522
201,2022-07-21,1472218.3018346357
202,2022-07-22,1431226.623824219
203,2022-07-23,1257495.3755416665
204,2022-07-24,1137663.9996875
205,2022-07-25,1400373.0689179685
206,2022-07-26,1393742.399845052
207,2022-07-27,1360700.9426263026
208,2022-07-28,1365075.4312096348
209,2022-07-29,1375644.6722929685
210,2022-07-30,1181603.8356145832
211,2022-07-31,1086745.9286354159
212,2022-08-01,1121612.1158958331
213,2022-08-02,1336326.4688867193
214,2022-08-03,1372960.2517929687
215,2022-08-04,1402159.1912513024
216,2022-08-05,1413429.903115885
217,2022-08-06,1226169.7311875003
218,2022-08-07,1126126.975729166
219,2022-08-08,1359149.8865638021
220,2022-08-09,1393005.4709596352
221,2022-08-10,1404483.9010013023
222,2022-08-11,1419164.0286783855
223,2022-08-12,1416796.7816575516
224,2022-08-13,1216070.812802083
